City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Praya,CV,78.8,haze,14.92,-23.51,LT Aparthotel
623,Charters Towers,AU,81.21,scattered clouds,-20.1,146.27,Cattleman's Rest Motor Inn
625,Kambia,SL,77.22,scattered clouds,9.12,-12.92,Hotel Moriya
626,Mount Isa,AU,86.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
631,Salta,AR,87.8,broken clouds,-24.79,-65.41,
634,Piacabucu,BR,76.89,clear sky,-10.41,-36.43,Piaçabuçu News
635,Kulhudhuffushi,MV,81.81,scattered clouds,6.62,73.07,Haajy Guest House 1
636,Port Blair,IN,80.67,clear sky,11.67,92.75,
637,Noumea,NC,86.0,clear sky,-22.28,166.46,Hôtel Le Lagon
661,Lazaro Cardenas,MX,82.53,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
665,Boyolangu,ID,77.25,broken clouds,-8.12,111.89,Yos ega cv
668,Mahibadhoo,MV,82.78,broken clouds,3.78,72.97,Omadhoo Inn
669,Dagana,MR,75.2,clear sky,16.52,-15.51,FORT DE DAGANA ANCIEN FORT FAIDHERBE
672,Sekoma,BW,75.16,clear sky,-24.4,23.88,
673,Itarema,BR,80.42,overcast clouds,-2.92,-39.92,Windvillage
681,Road Town,VG,78.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
685,Yaan,NG,81.07,scattered clouds,7.38,8.57,
686,Saint-Georges,GD,78.8,broken clouds,12.06,-61.75,Siesta Hotel
689,Nanakuli,US,86.0,scattered clouds,21.39,-158.15,Camp Pālehua
691,Ati,TD,75.42,clear sky,13.22,18.34,
692,Itaituba,BR,80.6,light rain,-4.28,-55.98,Hotel Campos
